,username,description,location,following,followers,totaltweets,retweetcount,text
0,0d13c9267ddd9886eb24288e2470cd49,b'porque o minho j merecia um jornal digital assim. @ominhopt',b'minho',b'121',b'3134',b'67103',b'1',b'covid-19: portugal j administrou mais de 800 mil doses de reforo https://t.co/tfwfth2ucu #covid-19 #sade #vacinas'
1,a9faa5402e62fef2e4fd3c24ce8ed078,"b'twitter oficial do governo do estado de santa catarina. informaes, notcias, servios, programas e aes de governo. https://t.co/jtmer3i39c'",b'santa catarina',b'603',b'144295',b'32988',b'0',"b'h 1.229.407 casos confirmados de #covid-19 em #santacatarina, dos quais 1.205.152 esto recuperados e 4.318 perman https://t.co/7wqad59hmy'"
2,3f64bafa594e162a84d1fb1a82971634,"b'a china de dentro, com perspectiva global. a agncia de notcias xinhua  a primeira fonte para notcias sobre a china e o mundo.'","b'rio de janeiro, brasil'",b'22',b'13307',b'29107',b'0',"b'a parte continental da #china relatou na segunda-feira cinco novos casos de #covid-19 transmitidos localmente, anun https://t.co/s4vnr4d6s6'"
3,54f632106cd5020a32de2e752297892a,"b'professor e mdico infectologista da unesp (md, phd) - especialista da sociedade brasileira de infectologia'","b'botucatu, brasil'",b'74',b'224',b'210',b'1',b'amb convida comunidade mdica e cientfica brasileira a se manifestar em consulta pblica sobre o tratamento da cov https://t.co/9vbgwd3zd6'
4,0a8414005e0d593c6ee3c92d273526f5,"b'somos especializados na produo, em tempo real, de notcias que explicam os movimentos dos mercados financeiros do brasil, amrica latina e internacionais.'",b'',b'1918',b'3861',b'58675',b'0',b'oms diz que ue pode chegar a 2 milhes de mortos por covid-19 at maro https://t.co/hbxqqmckdo #covid-19 #europa https://t.co/0foopsaabw'
5,f1abe983ce2eba083ecc54a8b1ecbe4d,b'my book absolute reality is now avaliable on amazon! click link below! header taken by @richonown #writingcommunity #nde #spiritual #amazon #lifeafterdeath',b'united states',b'4664',b'11930',b'11481',b'1',b'original #painting by jessica palacios!\n.\n#artist #artwork #covid19 #grammys #cryptocurrecy #devletiminyanindayim https://t.co/cqnegjzl6l'
6,c08feeeefb5d0f894096c6afe78f513e,b'fique atualizado com o gois notcia | instagram: https://t.co/qpgleaymdv',b'',b'679',b'277',b'2804',b'0',"b'a diretora-geral da organizao mundial da sade (oms), maringela simo, garantiu que o mundo est entrando em um https://t.co/qyzqyqdjio'"
7,996fea2843f1ca32d5da638afe78eaa7,b'site de notcias e entretenimento! a bahia vista por todos os ngulos; o brasil e o mundo vistos do alto',b'salvador - bahia - brasil ',b'248',b'538',b'10296',b'0',"b'ministrio da economia vai liberar r$ 1,4 bi para compra de vacinas contra a covid-19\n\n#economia #ministerio https://t.co/9xexycymcp'"
8,0d9f44638a7421e9ef2ed5ee63d4bc1e,"b'jornalismo digital dirio. as principais notcias dos vales do rio pardo e taquari, do brasil e do mundo esto no portal ou nos nossos canais por aplicativos.'","b'venncio aires (rs), brasil'",b'714',b'59',b'223',b'0',b'mulher de 89 anos estava internada havia apenas dois dias na enfermaria do hospital so sebastio mrtir.\n\n#covid https://t.co/5ue3jvq3et'
9,07d0fff3954cf8edac82fca4de224657,b' usando o twitter como fonte de informaes.\n empreendedor | investidor | profissional em t.i e mkt.',"b'recife, brasil'",b'354',b'101',b'21',b'0',"b's por curiosidade, esse decreto  para visitas ou doentes? e se for para doentes, isso no  incostitucional? https://t.co/dwhkvvuz4j'"
10,e5293a7ff9726355c9cc8a1b4450ec80,b'perfil oficial da tvtec jundia no twitter.',b'jundia',b'71',b'2610',b'9823',b'0',"b'boletim coronavrus  entre as vtimas est uma purpera de 32 anos, que estava internada no hospital universitri https://t.co/tvyex14p1o'"
11,bf750180dc020409e7c519b59f4b05b2,b'',"b'alagoas, brasil'",b'278',b'605',b'29952',b'0',b'alagoas registra 18 novos casos e mais duas mortes por covid-19 nesta tera (23) | jornal de alagoas https://t.co/70cstu2x0k'
